episode,real_score,is_funnel,frame_count,agent_fps,seed,timestamp
1,104.0,0,383,345.6,2054279286,2026-06-29T11:51:45.830433
2,104.0,0,383,411.7,649189491,2026-06-29T11:51:46.866057
3,104.0,0,383,355.0,1464152934,2026-06-29T11:51:48.055711
4,104.0,0,383,421.3,650856816,2026-06-29T11:51:49.067388
5,104.0,0,383,390.5,635225220,2026-06-29T11:51:50.149619
6,104.0,0,383,402.4,456465679,2026-06-29T11:51:51.208472
7,104.0,0,383,378.2,1671960232,2026-06-29T11:51:52.328839
8,104.0,0,383,399.8,1063737776,2026-06-29T11:51:53.395686
9,104.0,0,383,333.6,1406340055,2026-06-29T11:51:54.643015
10,104.0,0,383,414.7,1776293873,2026-06-29T11:51:55.667473
11,104.0,0,383,408.9,710150358,2026-06-29T11:51:56.707719
12,104.0,0,383,410.0,903637068,2026-06-29T11:51:57.751465
13,104.0,0,383,397.1,717677969,2026-06-29T11:51:58.818505
14,104.0,0,383,383.9,1959146509,2026-06-29T11:51:59.922708
15,104.0,0,383,302.3,1147284171,2026-06-29T11:52:01.289378
16,104.0,0,383,382.6,398713497,2026-06-29T11:52:02.394678
17,104.0,0,383,299.7,506626662,2026-06-29T11:52:03.776631
18,104.0,0,383,226.4,952350430,2026-06-29T11:52:05.661642
19,104.0,0,383,227.2,1817299928,2026-06-29T11:52:07.547775
20,104.0,0,383,178.3,188000583,2026-06-29T11:52:09.898151
21,104.0,0,383,224.5,2068368775,2026-06-29T11:52:11.801210
22,104.0,0,383,219.1,107541349,2026-06-29T11:52:13.740401
23,104.0,0,383,206.0,1479444282,2026-06-29T11:52:15.799735
24,104.0,0,383,193.9,96050978,2026-06-29T11:52:17.968451
25,104.0,0,383,145.8,1533260368,2026-06-29T11:52:20.794391
26,104.0,0,383,206.6,670109700,2026-06-29T11:52:22.838901
27,104.0,0,383,216.3,1902351728,2026-06-29T11:52:24.805087
28,104.0,0,383,205.7,580512738,2026-06-29T11:52:26.864608
29,104.0,0,383,199.2,1685102853,2026-06-29T11:52:28.972182
30,104.0,0,383,197.9,1294115856,2026-06-29T11:52:31.094531
31,104.0,0,383,194.8,1511513969,2026-06-29T11:52:33.254689
32,104.0,0,383,210.9,2004629544,2026-06-29T11:52:35.263091
33,104.0,0,383,212.0,1953113830,2026-06-29T11:52:37.262523
34,104.0,0,383,203.2,1502510034,2026-06-29T11:52:39.342785
35,104.0,0,383,197.8,1522486337,2026-06-29T11:52:41.469411
36,104.0,0,383,186.8,1080085909,2026-06-29T11:52:43.717219
37,104.0,0,383,222.9,2127648820,2026-06-29T11:52:45.629315
38,104.0,0,383,209.7,709580545,2026-06-29T11:52:47.653646
39,104.0,0,383,199.5,1451004714,2026-06-29T11:52:49.763998
40,104.0,0,383,196.5,1582545695,2026-06-29T11:52:51.908155
41,104.0,0,383,196.0,567413138,2026-06-29T11:52:54.057373
42,104.0,0,383,214.8,1081159434,2026-06-29T11:52:56.037768
43,104.0,0,383,218.1,141043552,2026-06-29T11:52:57.983198
44,104.0,0,383,203.9,1993708051,2026-06-29T11:53:00.056256
45,104.0,0,383,198.7,1858474634,2026-06-29T11:53:02.172140
46,104.0,0,383,187.8,603692646,2026-06-29T11:53:04.406082
47,104.0,0,383,188.7,106155244,2026-06-29T11:53:06.631386
48,104.0,0,383,188.8,258236859,2026-06-29T11:53:08.856139
49,104.0,0,383,215.2,439705484,2026-06-29T11:53:10.838998
50,104.0,0,383,194.3,1142786283,2026-06-29T11:53:12.997444
51,104.0,0,383,190.4,304824848,2026-06-29T11:53:15.210186
52,104.0,0,383,186.0,534622178,2026-06-29T11:53:17.468585
53,104.0,0,383,211.9,157622782,2026-06-29T11:53:19.465588
