frame,action_idx,action_label,paddle_x,ball_x,ball_y,lives
184,0,NOOP,184,55,188,2
185,1,FIRE,184,55,204,2
186,3,LEFT,184,55,220,2
187,3,LEFT,184,55,236,2
188,3,LEFT,184,55,252,2
189,2,RIGHT,92,131,12,2
190,1,FIRE,92,142,28,2
191,1,FIRE,92,142,44,2
192,1,FIRE,92,142,60,2
193,1,FIRE,92,142,76,2
194,0,NOOP,92,142,92,2
195,0,NOOP,92,142,108,2
196,0,NOOP,92,142,124,2
197,2,RIGHT,0,191,140,2
198,2,RIGHT,0,191,156,2
199,3,LEFT,68,178,172,2
200,0,NOOP,68,167,188,2
201,1,FIRE,68,167,204,2
202,3,LEFT,154,92,220,2
203,1,FIRE,154,81,236,2
204,3,LEFT,184,55,252,2
205,2,RIGHT,92,131,12,2
206,0,NOOP,86,148,28,2
207,1,FIRE,86,148,44,2
208,0,NOOP,86,148,60,2
209,0,NOOP,86,148,76,2
210,0,NOOP,86,148,92,2
211,0,NOOP,86,148,108,2
212,3,LEFT,178,68,124,2
213,2,RIGHT,86,137,140,2
214,1,FIRE,80,154,156,2
215,0,NOOP,80,154,172,2
216,3,LEFT,172,74,188,2
217,1,FIRE,178,57,204,2
218,3,LEFT,92,131,12,1
219,0,NOOP(refire),92,142,28,1
220,3,LEFT,184,62,44,1
221,0,NOOP,184,55,60,1
222,3,LEFT,184,55,76,1
223,1,FIRE,184,55,92,1
224,0,NOOP,184,55,108,1
225,2,RIGHT,92,131,124,1
226,0,NOOP,92,142,140,1
227,1,FIRE,92,142,156,1
228,2,RIGHT,0,191,172,1
229,2,RIGHT,0,191,188,1
230,3,LEFT,84,160,204,1
231,1,FIRE,84,151,220,1
232,0,NOOP,84,151,236,1
233,3,LEFT,178,68,252,1
234,1,FIRE,182,55,12,1
235,1,FIRE,182,55,28,1
236,3,LEFT,184,55,44,1
237,1,FIRE,184,55,60,1
238,0,NOOP,184,55,76,1
239,1,FIRE,184,55,92,1
240,0,NOOP,184,55,108,1
241,2,RIGHT,108,115,124,1
242,1,FIRE,108,126,140,1
243,2,RIGHT,18,191,156,1
244,3,LEFT,98,148,172,1
245,3,LEFT,184,56,188,1
246,2,RIGHT,92,131,204,1
247,0,NOOP,92,142,220,1
248,1,FIRE,92,142,236,1
249,1,FIRE,92,142,252,1
250,1,FIRE,92,142,12,1
251,3,LEFT,178,68,28,1
252,0,NOOP,178,57,44,1
253,3,LEFT,184,55,60,1
254,1,FIRE,184,55,76,1
255,2,RIGHT,92,131,92,1
256,3,LEFT,172,74,108,1
257,2,RIGHT,0,191,124,0
